AGE,GENDER,CIVIL STATUS,NO DEPENDANTS,MOP,PORTFOLIO AT RISK,CYCLES,CURT/PDNP,BRANCH,YEARS BUS,HOME,YEARS HOME,CF TO LOAN,COLL TO LOAN,INDUSTRY,BUSINESS
55,FEMALE,MARRIED,3,PDC,"116,423.55",7,PDNP,PASIG,28.0,OWNED,31.0,2.22,0.7140000000000001,RETAIL,MEAT SHOP
50,FEMALE,WIDOW,3,WALK-IN,"17,281.92",1,PDNP,PASIG,13.0,OWNED,20.0,1.38,1.848,RETAIL,VEGETABLE RETAIL
53,MALE,MARRIED,4,PDC,"25,472.02",10,PDNP,PASIG,23.0,OWNED,23.0,1.83,0.667,WHOLESALER,SOFTDRINKS DEALER
48,FEMALE,MARRIED,1,WALK-IN,"3,819.55",6,PDNP,PASIG,12.0,RENTED,10.0,1.01,0.847,RETAIL,MEAT SHOP
40,FEMALE,MARRIED,3,WALK-IN,"6,280.87",3,PDNP,PASIG,7.0,RENTED,10.0,2.98,1.579,WHOLESALER,VEGETABLE
42,MALE,MARRIED,4,PDC,"15,696.38",2,PDNP,PASIG,8.0,OWNED,8.0,1.04,3.333,RETAIL,TIRE SUPPLY
45,FEMALE,SINGLE,3,WALK-IN,"30,169.56",1,PDNP,PASIG,3.0,OWNED,10.0,2.84,1.0,RETAIL,SCRAPER
56,MALE,MARRIED,2,WALK-IN,1.00,2,PDNP,PASIG,3.0,OWNED,8.0,1.62,5.04,RETAIL,SARI SARI STORE
42,FEMALE,SEPARATED,4,WALK-IN,"32,602.98",8,PDNP,PASIG,6.0,OWNED,26.0,1.36,3.333,RETAIL,TOYS/FOOTWEAR/ BAG RETAIL
42,FEMALE,MARRIED,2,WALK-IN,1.00,1,PDNP,PASIG,5.0,RENTED,6.0,1.35,2.175,MANUFACTURING,ICE CREAM MANUFACTURING
41,MALE,SINGLE,4,WALK-IN,1.00,4,PDNP,PASIG,15.0,RENTED,5.0,1.52,0.214,RETAIL,MEAT SHOP
35,FEMALE,MARRIED,4,WALK-IN,1.00,2,PDNP,PASIG,5.0,OWNED,11.0,1.35,2.5669999999999997,RETAIL,MEAT SHOP
52,FEMALE,WIDOW,2,WALK-IN,1.00,4,PDNP,PASIG,15.0,OWNED,47.0,1.34,5.5,RETAIL,MEAT SHOP
58,FEMALE,WIDOW,3,WALK-IN,1.00,2,PDNP,PASIG,29.0,RENTED,5.0,2.0,0.8029999999999999,RETAIL,MEAT SHOP
57,FEMALE,MARRIED,3,WALK-IN,1.00,2,PDNP,PASIG,13.0,RENTED,5.0,1.11,0.5820000000000001,RETAIL,VEGETABLE/FISH RETAIL
51,FEMALE,MARRIED,2,WALK-IN,"25,922.90",9,PDNP,PASIG,16.0,SHARED/BORROWED,35.0,1.29,0.196,MANUFACTURING,FRIED CHICKEN
54,FEMALE,SEPARATED,2,WALK-IN,1.00,2,PDNP,PASIG,5.0,RENTED,6.0,1.02,0.45799999999999996,RETAIL,SARI SARI STORE
29,FEMALE,MARRIED,2,WALK-IN,1.00,2,PDNP,ANB,6.0,RENTED,11.0,1.26,0.917,RETAIL,RTW
51,FEMALE,MARRIED,2,WALK-IN,1.00,3,PDNP,ANB,7.0,OWNED,48.0,2.16,2.6,RETAIL,SARI SARI STORE
38,FEMALE,MARRIED,5,PDC,"5,291.72",3,PDNP,ANB,10.0,OWNED,34.0,2.69,0.713,RETAIL,MEAT SHOP
55,FEMALE,SINGLE,3,WALK-IN,1.00,2,PDNP,ANB,3.0,SHARED/BORROWED,43.0,1.07,1.281,RETAIL,BAGS RETAIL
46,MALE,MARRIED,3,WALK-IN,1.00,3,PDNP,ANB,15.0,OWNED,15.0,1.11,0.368,RETAIL,SARI SARI STORE
53,FEMALE,MARRIED,3,WALK-IN,1.00,1,PDNP,SMB,16.0,OWNED,16.0,3.09,5.894,RETAIL,SARI SARI STORE
43,FEMALE,MARRIED,3,WALK-IN,1.00,1,PDNP,ANB,7.0,SHARED/BORROWED,28.0,1.09,29.56,SERVICES,WATER REFILLING STATION
49,FEMALE,SINGLE,2,WALK-IN,1.00,1,PDNP,ANB,1.0,RENTED,4.0,1.29,1.925,SERVICES,CARINDERIA
30,MALE,SINGLE,0,WALK-IN,"49,244.55",4,PDNP,PASIG,3.0,RENTED,3.0,3.38,3.1430000000000002,RETAIL,VEGETABLE RETAIL
38,FEMALE,MARRIED,3,PDC,"42,613.77",6,PDNP,PASIG,7.0,SHARED/BORROWED,10.0,1.32,0.298,RETAIL,SARI SARI STORE
43,FEMALE,MARRIED,4,PDC,"64,222.49",18,PDNP,PASIG,6.0,OWNED,14.0,1.41,1.31,RETAIL,MINI GROCERY
46,FEMALE,SINGLE,1,WALK-IN,1.00,5,PDNP,PASIG,14.0,RENTED,14.0,1.11,0.9470000000000001,RETAIL,SARI SARI STORE
40,FEMALE,SINGLE,1,WALK-IN,"28,231.88",5,PDNP,PASIG,2.0,OWNED,29.0,1.34,1.013,SERVICES,COMPUTER SHOP
40,MALE,MARRIED,2,PDC,1.00,1,PDNP,PASIG,9.0,RENTED,9.0,1.48,1.114,RETAIL,CAR ACCESSORIES
43,FEMALE,SINGLE,0,WALK-IN,"6,776.85",1,PDNP,PASIG,3.0,OWNED,11.0,1.26,1.383,MANUFACTURING,DRESS MAKING
47,FEMALE,MARRIED,4,PDC,"36,831.76",1,PDNP,PASIG,17.0,OWNED,17.0,2.9,3.75,RETAIL,CHICKEN RETAILER
35,FEMALE,SINGLE,1,PDC,1.00,5,PDNP,PASIG,7.0,OWNED,23.0,0.41,0.5489999999999999,RETAIL,CAR ACCESSORIES
50,MALE,MARRIED,1,PDC,"24,747.67",1,PDNP,PASIG,7.0,OWNED,15.0,1.28,0.94,RETAIL,SOAP MAKING
47,FEMALE,MARRIED,3,PDC,"39,442.95",1,PDNP,PASIG,12.0,OWNED,12.0,1.92,1.7180000000000002,RETAIL,UKAY-UKAY
35,FEMALE,MARRIED,0,PDC,1.00,3,PDNP,PASIG,10.0,SHARED/BORROWED,11.0,1.03,0.467,RETAIL,CELLPHONE ACCESSORIES RETAILER
49,FEMALE,SEPARATED,2,PDC,1.00,5,PDNP,PASIG,3.0,RENTED,9.0,1.36,0.5,RETAIL,ELECTRONICS
34,FEMALE,MARRIED,1,PDC,"14,155.35",3,PDNP,PASIG,7.0,RENTED,15.0,1.37,1.125,RETAIL,CELLPHONE ACCESSORIES RETAILER
27,FEMALE,MARRIED,1,WALK-IN,1.00,2,PDNP,PASIG,7.0,OWNED,21.0,1.07,0.536,RETAIL,CELLPHONE ACCESSORIES
48,FEMALE,SINGLE,3,WALK-IN,1.00,3,PDNP,PASIG,6.0,SHARED/BORROWED,15.0,1.09,0.174,RETAIL,RTW
50,FEMALE,MARRIED,0,PDC,"25,649.72",1,PDNP,PASIG,10.0,RENTED,3.0,0.93,1.1,RETAIL,ELECTRONICS ETC.
31,MALE,SINGLE,2,PDC,"100,240.50",8,PDNP,PASIG,4.0,OWNED,14.0,1.31,0.737,SERVICES,GLASS ETCHING
44,FEMALE,SEPARATED,0,WALK-IN,"33,941.10",4,PDNP,PASIG,1.0,RENTED,3.0,1.11,1.3,RETAIL,SARI SARI STORE
29,MALE,SINGLE,5,WALK-IN,"37,213.46",6,PDNP,PASIG,6.0,OWNED,16.0,2.04,2.3819999999999997,SERVICES,JUNK SHOP
47,FEMALE,MARRIED,3,WALK-IN,1.00,3,PDNP,PASIG,8.0,OWNED,9.0,1.05,1.006,SERVICES,JUNK SHOP
38,MALE,MARRIED,1,PDC,1.00,1,PDNP,SMB,5.0,OWNED,7.0,2.28,2.867,RETAIL,RTW
61,FEMALE,SEPARATED,0,WALK-IN,1.00,1,PDNP,PASIG,10.0,OWNED,10.0,1.07,6.667000000000001,RETAIL,RTW  BUY AND SALE
50,MALE,MARRIED,4,WALK-IN,"18,601.03",1,PDNP,PASIG,6.0,OWNED,6.0,1.34,1.683,RETAIL,RTW BUY AND SALE
41,MALE,SINGLE,0,WALK-IN,1.00,1,PDNP,PASIG,7.0,OWNED,7.0,1.04,6.667000000000001,RETAIL,BIKE SHOP
37,FEMALE,MARRIED,3,WALK-IN,"35,757.51",1,PDNP,PASIG,8.0,OWNED,16.0,1.48,5.0,RETAIL,TEXTILE RETAIL
42,MALE,MARRIED,4,PDC,1.00,1,PDNP,PASIG,3.0,OWNED,16.0,1.2,4.74,SERVICES,CARWASH / AUTO DETAILING
38,FEMALE,MARRIED,5,WALK-IN,1.00,2,PDNP,PASIG,3.0,RENTED,3.0,2.37,0.846,WHOLESALE/RETAIL,RICE DEALER
52,FEMALE,MARRIED,1,WALK-IN,1.00,1,PDNP,PASIG,7.0,OWNED,14.0,1.5,3.4130000000000003,WHOLESALE/RETAIL,SOFTDRINKS DEALER
62,MALE,SINGLE,1,WALK-IN,"10,298.42",1,PDNP,PASIG,4.0,SHARED/BORROWED,10.0,1.34,1.068,RETAIL,MEAT SHOP
47,MALE,MARRIED,5,WALK-IN,92.16,1,PDNP,PASIG,4.0,SHARED/BORROWED,29.0,1.08,1.429,RETAIL,MEAT AND VEGETABLE STORE
54,FEMALE,MARRIED,1,WALK-IN,,1,CURT,CAVITE,15.0,SHARED/BORROWED,54.0,1.96,0.8959999999999999,RETAIL,FRUITS AND VEGETABLES
42,FEMALE,MARRIED,3,WALK-IN,,1,CURT,CAVITE,5.0,MORTGAGED,11.0,1.22,0.85,WHOLESALE/RETAIL,VEGETABLE WHOLESALER/RETAIL
48,FEMALE,MARRIED,4,WALK-IN,,1,CURT,CAVITE,5.0,OWNED,25.0,1.89,1.6159999999999999,RETAIL,SARI SARI STORE
47,FEMALE,SEPARATED,2,WALK-IN,,1,CURT,CAVITE,4.0,OWNED,30.0,1.62,1.8330000000000002,MANUFACTURING,TAILORING
43,FEMALE,SEPARATED,2,WALK-IN,,1,CURT,CAVITE,12.0,OWNED,13.0,2.0,1.47,RETAIL,DRIED FISH
32,FEMALE,SINGLE,3,WALK-IN,,1,CURT,CAVITE,3.0,SHARED/BORROWED,15.0,2.83,1.082,RETAIL,VEGETABLE RETAIL
30,FEMALE,SINGLE,1,PDC,,1,CURT,CAVITE,3.0,RENTED,5.0,1.3,1.55,RETAIL,GENERAL MERCHANDISE
46,FEMALE,MARRIED,3,WALK-IN,"6,108.02",4,PDNP,PASIG,5.0,RENTED,11.0,1.7,1.192,RETAIL,RTW
47,MALE,MARRIED,3,PDC,,2,CURT,CAVITE,6.0,RENTED,5.0,1.13,3.088,RETAIL,GROCERY
41,FEMALE,MARRIED,2,PDC,,2,CURT,CAVITE,6.0,OWNED,9.0,1.38,0.878,RETAIL,GENERAL MERCHANDISE
44,FEMALE,MARRIED,2,PDC,,2,CURT,CAVITE,4.0,OWNED,14.0,1.53,1.915,SERVICES,TICKETING & TRAVEL/TOURS
54,FEMALE,MARRIED,3,WALK-IN,,4,CURT,CAVITE,6.0,MORTGAGED,16.0,1.11,0.635,SERVICES,CARINDERIA
39,MALE,MARRIED,0,PDC,"53,404.40",6,PDNP,PASIG,5.0,RENTED,4.0,1.19,0.47700000000000004,SERVICES,INDUSTRIAL SUPPLIES MARKETING
54,FEMALE,MARRIED,3,WALK-IN,"12,409.14",1,PDNP,CAVITE,6.0,MORTGAGED,16.0,1.48,0.847,SERVICES,CARINDERIA
39,FEMALE,MARRIED,0,PDC,,6,CURT,PASIG,5.0,RENTED,4.0,4.75,1.9080000000000001,SERVICES,INDUSTRIAL SUPPLIES MARKETING
33,MALE,MARRIED,1,PDC,,2,CURT,CAVITE,3.0,RENTED,3.0,1.73,1.847,PROCESSING,BAKERY
37,FEMALE,SEPARATED,2,PDC,"31,915.53",2,PDNP,CAVITE,4.0,RENTED,9.0,1.66,0.8540000000000001,RETAIL,VEGETABLE RETAIL
47,FEMALE,MARRIED,4,PDC,,1,CURT,CAVITE,20.0,SHARED/BORROWED,46.0,1.23,2.22,RETAIL,SARI SARI STORE
48,FEMALE,WIDOW,3,WALK-IN,"11,384.81",13,PDNP,PASIG,1.0,SHARED/BORROWED,45.0,1.02,0.434,RETAIL,SARI SARI STORE
47,FEMALE,WIDOW,3,WALK-IN,"8,038.14",2,PDNP,PASIG,2.0,OWNED,45.0,1.25,1.367,RETAIL,RTW
47,MALE,MARRIED,5,WALK-IN,,2,CURT,PASIG,7.0,OWNED,4.0,1.21,1.15,RETAIL,MEAT SHOP
39,FEMALE,MARRIED,1,PDC,,3,CURT,PASIG,10.0,OWNED,13.0,1.32,1.847,RETAIL,SARI-SARI STORE/
53,MALE,MARRIED,4,PDC,"36,122.57",1,PDNP,PASIG,1.0,RENTED,4.0,2.23,1.4580000000000002,SERVICES,RESTAURANT
42,FEMALE,MARRIED,3,WALK-IN,,1,CURT,CAVITE,20.0,MORTGAGED,6.0,1.75,0.8440000000000001,RETAIL,FRUITS AND VEGETABLES
28,FEMALE,SINGLE,1,WALK-IN,,1,CURT,PASIG,7.0,RENTED,10.0,1.14,1.2,RETAIL,SARI SARI STORE
37,FEMALE,SINGLE,1,WALK-IN,,1,CURT,PASIG,3.0,OWNED,12.0,1.37,1.067,SERVICES/RETAIL,CANTEEN & SARI-SARI STORE
28,FEMALE,SINGLE,1,WALK-IN,,2,CURT,CAVITE,6.0,RENTED,6.0,1.25,1.367,RETAIL,BIKE SHOP
38,MALE,MARRIED,3,WALK-IN,"14,490.98",1,PDNP,PASIG,4.0,SHARED/BORROWED,11.0,6.2,3.01,WHOLESALE/RETAIL,RICE DEALER
55,FEMALE,SINGLE,2,WALK-IN,,2,CURT,CAVITE,20.0,OWNED,27.0,2.05,0.9329999999999999,RETAIL,FRUIT VENDOR
29,FEMALE,MARRIED,0,PDC,,1,CURT,CAVITE,4.0,RENTED,4.0,2.69,1.983,MANUFACTURING,BAKERY
38,FEMALE,MARRIED,1,WALK-IN,,1,CURT,CAVITE,2.0,RENTED,4.0,1.23,1.2770000000000001,SERVICES,CARINDERIA
52,FEMALE,MARRIED,1,PDC,"58,049.91",1,PDNP,CAVITE,6.0,MORTGAGED,10.0,1.58,2.877,RETAIL,RTW
43,FEMALE,MARRIED,6,WALK-IN,"16,637.01",4,PDNP,PASIG,12.0,SHARED/BORROWED,39.0,1.04,1.6,RETAIL,SARI SARI STORE
49,FEMALE,SINGLE,1,WALK-IN,"2,628.04",3,PDNP,PASIG,6.0,RENTED,6.0,1.09,2.147,RETAIL,SARI SARI STORE
32,FEMALE,MARRIED,3,PDC,"17,402.53",1,PDNP,PASIG,7.0,RENTED,29.0,1.03,3.734,SERVICES,COMPUTER SHOP
36,FEMALE,SINGLE,3,WALK-IN,"2,071.04",1,PDNP,PASIG,20.0,OWNED,10.0,1.08,0.9470000000000001,RETAIL,SARI SARI STORE
42,MALE,SINGLE,0,WALK-IN,,2,CURT,CAVITE,10.0,MORTGAGED,17.0,1.53,3.5039999999999996,WHOLESALE/RETAIL,GROCERY
47,MALE,SINGLE,2,PDC,"13,432.36",1,PDNP,PASIG,8.0,OWNED,45.0,1.11,1.2,RETAIL,SARI SARI STORE
33,FEMALE,SEPARATED,0,PDC,,1,CURT,CAVITE,3.0,RENTED,7.0,1.37,6.8629999999999995,WHOLESALE/RETAIL,GROCERY
37,FEMALE,SINGLE,4,WALK-IN,"4,284.29",1,PDNP,PASIG,5.0,OWNED,6.0,1.1,1.136,RETAIL,SARI SARI STORE
31,FEMALE,SINGLE,2,WALK-IN,"14,354.43",2,PDNP,PASIG,6.0,RENTED,6.0,1.72,1.3119999999999998,SERVICES,JUNK SHOP
44,FEMALE,MARRIED,2,WALK-IN,"12,902.49",2,PDNP,PASIG,14.0,RENTED,14.0,1.19,0.586,RETAIL,PLASTIC WARE
47,FEMALE,MARRIED,5,WALK-IN,"12,538.93",3,PDNP,PASIG,16.0,RENTED,16.0,1.14,1.0090000000000001,MANUFACTURING,BAKESHOP
59,FEMALE,MARRIED,3,WALK-IN,"3,303.53",3,PDNP,PASIG,7.0,RENTED,7.0,1.16,0.9129999999999999,RETAIL,PLASTIC WARE
31,FEMALE,SINGLE,3,WALK-IN,"17,678.42",1,PDNP,PASIG,7.0,RENTED,7.0,2.34,2.359,MANUFACTURING,BAKERY
48,FEMALE,MARRIED,2,WALK-IN,"48,709.08",2,PDNP,PASIG,18.0,SHARED/BORROWED,45.0,0.4,0.259,RETAIL,MEAT SHOP
49,FEMALE,MARRIED,3,WALK-IN,,1,CURT,PASIG,13.0,OWNED,17.0,1.92,1.4409999999999998,SERVICES,JUNK SHOP
51,MALE,MARRIED,4,WALK-IN,,2,CURT,PASIG,10.0,RENTED,10.0,1.25,0.5870000000000001,MANUFACTURING,FURNITURE SHOP
46,MALE,MARRIED,2,WALK-IN,,4,CURT,PASIG,4.0,OWNED,16.0,0.94,1.083,RETAIL,SARI SARI STORE
50,FEMALE,MARRIED,3,WALK-IN,"3,509.17",3,PDNP,PASIG,12.0,OWNED,13.0,4.19,2.892,FOOD PROCESSING,CARINDERIA
41,FEMALE,SINGLE,1,WALK-IN,,1,CURT,PASIG,17.0,OWNED,17.0,1.61,1.665,RETAIL,LECHON MANOK
53,FEMALE,MARRIED,4,WALK-IN,,5,CURT,PASIG,3.0,OWNED,18.0,1.76,1.635,RETAIL,SCHOOL SUPPLIES
37,FEMALE,SINGLE,3,WALK-IN,,1,CURT,PASIG,4.0,RENTED,14.0,1.29,2.827,RETAIL,SCHOOL SUPPLIES
54,FEMALE,MARRIED,2,WALK-IN,,5,CURT,PASIG,3.0,OWNED,25.0,1.07,0.319,WHOLESALE/RETAIL,GROCERY
50,FEMALE,MARRIED,4,WALK-IN,"13,984.97",2,PDNP,PASIG,20.0,OWNED,20.0,1.24,0.9590000000000001,RETAIL,SARI SARI AND VEGETABLES
47,FEMALE,SINGLE,2,PDC,"62,798.45",1,PDNP,PASIG,10.0,OWNED,20.0,0.13,1.052,RETAIL,GOWNS RETAIL
43,MALE,MARRIED,5,PDC,"14,857.65",3,PDNP,PASIG,15.0,OWNED,10.0,1.22,0.636,SERVICES,EATERY
32,MALE,SINGLE,3,WALK-IN,,3,CURT,PASIG,6.0,RENTED,5.0,1.14,0.759,SERVICES,CHICKEN SKIN RETAILER
29,MALE,SINGLE,2,WALK-IN,,1,CURT,PASIG,2.0,OWNED,2.0,1.17,1.209,MANUFACTURING,HOLLOW BLOCKS MAKER
43,FEMALE,SINGLE,1,PDC,,9,CURT,PASIG,8.0,OWNED,10.0,0.57,1.3330000000000002,RETAIL,HARDWARE
27,FEMALE,SINGLE,2,WALK-IN,"14,034.61",1,PDNP,PASIG,2.0,RENTED,2.0,1.4,1.0390000000000001,WHOLESALE/RETAIL,EGG DEALER
38,FEMALE,MARRIED,1,WALK-IN,,1,CURT,PASIG,6.0,RENTED,11.0,1.2,0.496,RETAIL,GROCERY
28,MALE,SINGLE,0,PDC,"14,299.59",2,PDNP,PASIG,6.0,RENTED,12.0,1.62,0.602,SERVICES,CARINDERIA
58,FEMALE,SEPARATED,2,WALK-IN,,16,CURT,PASIG,22.0,SHARED/BORROWED,50.0,1.24,0.7,MANUFACTURING,GARMENTS
28,FEMALE,MARRIED,2,PDC,,1,CURT,PASIG,3.0,RENTED,5.0,0.79,1.554,SERVICES & RETAIL,ROOFING SUPLLY/INSTALLATION
35,FEMALE,MARRIED,2,WALK-IN,,1,CURT,PASIG,2.0,OWNED,4.0,1.97,3.912,RETAIL,GENERAL MERCHANDISE
43,MALE,SINGLE,2,WALK-IN,"7,000.43",1,PDNP,PASIG,8.0,OWNED,9.0,1.1,1.367,MANUFACTURING,WOOD SCRAP
49,FEMALE,SEPARATED,3,WALK-IN,,11,CURT,PASIG,10.0,RENTED,3.0,1.41,0.767,SERVICES,SALON
48,FEMALE,MARRIED,2,WALK-IN,,1,CURT,PASIG,18.0,OWNED,19.0,1.44,3.423,RETAIL,SCHOOL SUPPLIES
53,FEMALE,MARRIED,5,WALK-IN,,17,CURT,PASIG,20.0,OWNED,34.0,2.21,0.33799999999999997,SERVICES,EATERY
47,FEMALE,MARRIED,3,WALK-IN,"15,444.57",1,PDNP,PASIG,13.0,SHARED/BORROWED,30.0,1.05,0.8490000000000001,RETAIL,SARI SARI STORE
36,MALE,MARRIED,2,PDC,"53,278.59",3,PDNP,PASIG,10.0,RENTED,13.0,1.49,0.708,SERVICES,EATERY
56,FEMALE,MARRIED,3,WALK-IN,,1,CURT,PASIG,2.0,SHARED/BORROWED,30.0,1.2,2.4619999999999997,RETAIL,SCHOOL SUPPLIES
35,FEMALE,MARRIED,3,WALK-IN,,3,CURT,PASIG,8.0,OWNED,12.0,2.51,1.062,SERVICES,REPAIR SHOP
35,FEMALE,SINGLE,1,PDC,"188,282.93",5,PDNP,PASIG,10.0,RENTED,4.0,0.17,0.293,RETAIL,MINI GROCERY
36,FEMALE,SINGLE,2,WALK-IN,,2,CURT,PASIG,7.0,RENTED,7.0,1.46,0.6920000000000001,RETAIL,COCONUT AND VEGETABLE
38,FEMALE,MARRIED,2,WALK-IN,,9,CURT,PASIG,4.0,OWNED,14.0,1.07,0.81,SERVICES,JUNK SHOP
55,MALE,MARRIED,2,PDC,,2,CURT,PASIG,10.0,OWNED,26.0,1.51,1.2770000000000001,RETAIL,HARDWARE
28,MALE,SINGLE,5,PDC,,1,CURT,PASIG,3.0,SHARED/BORROWED,3.0,1.41,0.7609999999999999,MANUFACTURING,CRIB/WOOD MANUFACTURING
49,FEMALE,MARRIED,2,WALK-IN,"32,160.29",1,PDNP,ANB,9.0,OWNED,20.0,1.29,1.2890000000000001,RETAIL,RTW
47,FEMALE,MARRIED,2,WALK-IN,"14,060.59",1,PDNP,ANB,7.0,OWNED,20.0,1.56,2.1630000000000003,SERVICES,PRINTING AND PHOTOCOPYING SERVICES
52,FEMALE,MARRIED,3,WALK-IN,"12,230.06",1,PDNP,ANB,2.0,OWNED,20.0,2.11,1.964,SERVICES,CARINDERIA
44,MALE,MARRIED,3,WALK-IN,"12,123.99",1,PDNP,ANB,4.0,OWNED,20.0,1.12,0.669,RETAIL,RTW
59,FEMALE,SEPARATED,2,WALK-IN,425.53,1,PDNP,PASIG,6.0,OWNED,6.0,1.17,0.975,SERVICES,TAPSIHAN
34,FEMALE,MARRIED,3,WALK-IN,"3,925.70",1,PDNP,PASIG,4.0,OWNED,31.0,1.2,0.7709999999999999,SERVICES,CARINDERIA
40,MALE,MARRIED,4,WALK-IN,"20,613.79",4,PDNP,PASIG,4.0,RENTED,4.0,2.44,6.55,SERVICES,COMPUTER SHOP
24,FEMALE,MARRIED,2,WALK-IN,"45,830.14",1,PDNP,PASIG,5.0,OWNED,5.0,1.17,1.0,SERVICES,JUNK SHOP
54,MALE,MARRIED,4,WALK-IN,,5,CURT,PASIG,15.0,OWNED,26.0,1.43,0.9009999999999999,SERVICES,LUGAWAN
58,FEMALE,MARRIED,3,PDC,,14,CURT,PASIG,4.0,MORTGAGED,5.0,0.46,0.243,RETAIL,MINI GROCERY
39,FEMALE,MARRIED,1,WALK-IN,"14,646.06",1,PDNP,PASIG,8.0,OWNED,15.0,1.8,1.195,RETAIL,FISH VENDOR
52,FEMALE,MARRIED,4,WALK-IN,"20,466.77",2,PDNP,PASIG,16.0,OWNED,26.0,1.48,0.713,RETAIL,SARI SARI STORE
43,FEMALE,MARRIED,4,WALK-IN,,7,CURT,PASIG,6.0,RENTED,6.0,1.17,0.5,SERVICES,CARINDERIA
39,FEMALE,WIDOW,0,WALK-IN,"63,759.34",1,PDNP,PASIG,7.0,OWNED,7.0,1.2,0.5,RETAIL,RTW
45,MALE,SINGLE,0,WALK-IN,,1,CURT,PASIG,6.0,OWNED,14.0,1.13,0.943,MANUFACTURING & RETAIL,BAKERY & POULTRY SUPPLY
29,MALE,SINGLE,0,PDC,"91,917.71",4,PDNP,PASIG,5.0,RENTED,5.0,1.49,0.36,RETAIL,POULTRY SUPPLIES
31,FEMALE,SINGLE,2,WALK-IN,,2,CURT,PASIG,6.0,OWNED,6.0,1.7,2.728,RETAIL,MOTOR ACCESSORIES
38,FEMALE,MARRIED,2,WALK-IN,"27,152.86",2,PDNP,PASIG,2.0,OWNED,15.0,3.16,1.3980000000000001,RETAIL,Scrap Soap Maker
54,FEMALE,SINGLE,2,WALK-IN,"5,247.95",1,PDNP,PASIG,10.0,OWNED,10.0,4.03,1.43,RETAIL,MEAT SHOP
47,MALE,SEPARATED,1,WALK-IN,,2,CURT,PASIG,2.0,SHARED/BORROWED,25.0,1.32,1.442,RETAIL,SARI SARI STORE
50,FEMALE,SINGLE,3,PDC,"23,153.98",2,PDNP,PASIG,8.0,OWNED,20.0,2.36,4.303,MANUFACTURING,BAKERY
36,MALE,SINGLE,4,WALK-IN,,5,CURT,PASIG,4.0,RENTED,8.0,2.06,1.133,PROCESSING,FRIED CHICKEN
36,MALE,SINGLE,2,WALK-IN,"23,369.31",3,PDNP,PASIG,7.0,OWNED,7.0,1.09,1.1,RETAIL,FISH RETAILER
